Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
O1_XF0	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_XF1	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_XF2	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_XF3	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_XF4	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_XIF0	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XIF1	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XIF2	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XIF3	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XIF4	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XR0	Both	Mono	Identical	Small	Similar	Similar
O1_XR1	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
O1_XR2	Both	Mono	Identical	Small	Alg1Faster	Alg2Faster
O1_XR3	Both	Mono	Identical	Small	Similar	Similar
O1_XR4	Both	Mono	Identical	Small	Similar	Similar
O1_XRF0	Both	Mono	Identical	Small	Similar	Similar
O1_XRF1	Both	Mono	Identical	Small	Similar	Similar
O1_XRF2	Both	Mono	Identical	Small	Similar	Similar
O1_XRF3	Both	Mono	Identical	Small	Similar	Similar
O1_XRF4	Both	Mono	Identical	Small	Similar	Similar
O1_XRIF0	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O1_XRIF1	Both	Alg2	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_XRIF2	Both	Alg2	Different	Small	Alg1Faster	Alg2Faster
O1_XRIF3	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O1_XRIF4	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O2_U0	Both	Osc	Identical	Small	Similar	Similar
O2_U1	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_U2	Both	Osc	Identical	Small	Similar	Similar
O2_U3	Both	Osc	VeryDiff	Small	Alg2Faster	Alg2Faster
O2_U4	Both	Osc	Likewise	Small	Alg1Faster	Alg1Faster
O2_U5	Both	Osc	Different	Small	Alg2Faster	Alg2Faster
O2_U6	Both	Osc	Identical	Small	Similar	Similar
O2_U7	Both	Mono	Identical	Small	Similar	Similar
O2_R0	Both	Osc	Identical	Small	Similar	Similar
O2_R1	Both	Mono	Identical	Small	Similar	Similar
O2_R2	Both	Mono	Identical	Small	Similar	Similar
O2_R3	Both	Mono	Identical	Small	Similar	Similar
O2_R4	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
O2_P0	Both	Osc	Identical	Small	Similar	Similar
O2_P1	Both	Osc	Identical	Small	Similar	Similar
O2_P2	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O2_P3	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
O2_P4	Alg1	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_P5	Alg1	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_PF0	Both	Osc	Identical	Small	Similar	Similar
O2_PF1	Both	Osc	Identical	Small	Similar	Similar
O2_PF2	Both	Osc	Identical	Small	Similar	Similar
O2_PF3	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
O2_PF4	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
