RTO_iter	rho	tr	tr_adjusted	event	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
20	1.024980e+00	1.000000e+00	1.000000e+00	trust region too large	-1.824247e+02	-2.099846e+02	4.118828e+01	4.114870e-07	1.154275e-01	3.846232e-01	2.772117e-01	9.654000e-02	1.261975e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.756027e+01	-4.719821e+01	3.841571e+01	-1.730041e+01	-4.118829e+01	-3.858815e-02	-8.807308e-02	-9.037520e-01
21	1.024989e+00	1.000000e+00	1.000000e+00	trust region too large	-1.822914e+02	-2.100017e+02	4.121305e+01	4.117416e-07	1.153459e-01	3.846988e-01	2.771955e-01	9.651667e-02	1.262432e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.771076e+01	-4.724586e+01	3.841981e+01	-1.732664e+01	-4.121305e+01	-3.864028e-02	-8.819468e-02	-9.040123e-01
22	1.024979e+00	1.000000e+00	1.000000e+00	trust region too large	-1.821609e+02	-2.100180e+02	4.123715e+01	4.119891e-07	1.152674e-01	3.847716e-01	2.771795e-01	9.649390e-02	1.262876e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.785751e+01	-4.729189e+01	3.842380e+01	-1.735227e+01	-4.123715e+01	-3.869117e-02	-8.831343e-02	-9.042653e-01
23	1.024959e+00	1.000000e+00	1.000000e+00	trust region too large	-1.820333e+02	-2.100335e+02	4.126059e+01	4.122298e-07	1.151915e-01	3.848421e-01	2.771639e-01	9.647171e-02	1.263307e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.800064e+01	-4.733650e+01	3.842767e+01	-1.737727e+01	-4.126060e+01	-3.874077e-02	-8.842927e-02	-9.045114e-01
24	1.024935e+00	1.000000e+00	1.000000e+00	trust region too large	-1.819083e+02	-2.100482e+02	4.128342e+01	4.124641e-07	1.151180e-01	3.849106e-01	2.771486e-01	9.645008e-02	1.263727e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.814023e+01	-4.737984e+01	3.843142e+01	-1.740164e+01	-4.128342e+01	-3.878910e-02	-8.854222e-02	-9.047509e-01
25	1.024910e+00	1.000000e+00	1.000000e+00	trust region too large	-1.817861e+02	-2.100622e+02	4.130563e+01	4.126922e-07	1.150465e-01	3.849772e-01	2.771337e-01	9.642903e-02	1.264135e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.827640e+01	-4.742198e+01	3.843505e+01	-1.742539e+01	-4.130564e+01	-3.883616e-02	-8.865232e-02	-9.049839e-01
26	1.024884e+00	1.000000e+00	1.000000e+00	trust region too large	-1.816665e+02	-2.100754e+02	4.132727e+01	4.129142e-07	1.149771e-01	3.850420e-01	2.771192e-01	9.640853e-02	1.264532e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.840922e+01	-4.746298e+01	3.843856e+01	-1.744852e+01	-4.132727e+01	-3.888198e-02	-8.875963e-02	-9.052106e-01
27	1.024860e+00	1.000000e+00	1.000000e+00	trust region too large	-1.815495e+02	-2.100880e+02	4.134833e+01	4.131303e-07	1.149095e-01	3.851050e-01	2.771050e-01	9.638856e-02	1.264919e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.853880e+01	-4.750288e+01	3.844197e+01	-1.747106e+01	-4.134833e+01	-3.892660e-02	-8.886422e-02	-9.054314e-01
28	1.024836e+00	1.000000e+00	1.000000e+00	trust region too large	-1.814351e+02	-2.101000e+02	4.136885e+01	4.133408e-07	1.148437e-01	3.851664e-01	2.770912e-01	9.636913e-02	1.265295e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.866520e+01	-4.754173e+01	3.844527e+01	-1.749302e+01	-4.136885e+01	-3.897005e-02	-8.896617e-02	-9.056463e-01
29	1.024814e+00	1.000000e+00	1.000000e+00	trust region too large	-1.813231e+02	-2.101114e+02	4.138882e+01	4.135457e-07	1.147797e-01	3.852262e-01	2.770778e-01	9.635021e-02	1.265661e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.878852e+01	-4.757956e+01	3.844846e+01	-1.751441e+01	-4.138883e+01	-3.901236e-02	-8.906554e-02	-9.058555e-01
30	1.024793e+00	1.000000e+00	1.000000e+00	trust region too large	-1.812136e+02	-2.101222e+02	4.140828e+01	4.137454e-07	1.147174e-01	3.852845e-01	2.770647e-01	9.633178e-02	1.266017e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.890882e+01	-4.761640e+01	3.845156e+01	-1.753525e+01	-4.140829e+01	-3.905357e-02	-8.916240e-02	-9.060592e-01
31	1.024773e+00	1.000000e+00	1.000000e+00	trust region too large	-1.811065e+02	-2.101324e+02	4.142724e+01	4.139398e-07	1.146568e-01	3.853412e-01	2.770519e-01	9.631383e-02	1.266363e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.902620e+01	-4.765228e+01	3.845456e+01	-1.755556e+01	-4.142724e+01	-3.909370e-02	-8.925681e-02	-9.062576e-01
32	1.024755e+00	1.000000e+00	1.000000e+00	trust region too large	-1.810017e+02	-2.101422e+02	4.144570e+01	4.141292e-07	1.145977e-01	3.853965e-01	2.770394e-01	9.629635e-02	1.266701e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.914073e+01	-4.768722e+01	3.845748e+01	-1.757535e+01	-4.144571e+01	-3.913278e-02	-8.934886e-02	-9.064508e-01
33	1.024737e+00	1.000000e+00	1.000000e+00	trust region too large	-1.808992e+02	-2.101515e+02	4.146369e+01	4.143137e-07	1.145402e-01	3.854503e-01	2.770273e-01	9.627933e-02	1.267029e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.925247e+01	-4.772126e+01	3.846030e+01	-1.759463e+01	-4.146369e+01	-3.917086e-02	-8.943859e-02	-9.066389e-01
34	1.024722e+00	1.000000e+00	1.000000e+00	trust region too large	-1.807990e+02	-2.101603e+02	4.148122e+01	4.144934e-07	1.144842e-01	3.855028e-01	2.770154e-01	9.626275e-02	1.267349e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.936150e+01	-4.775442e+01	3.846304e+01	-1.761343e+01	-4.148122e+01	-3.920795e-02	-8.952608e-02	-9.068222e-01
35	1.024707e+00	1.000000e+00	1.000000e+00	trust region too large	-1.807010e+02	-2.101687e+02	4.149830e+01	4.146685e-07	1.144296e-01	3.855539e-01	2.770039e-01	9.624660e-02	1.267660e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.946788e+01	-4.778672e+01	3.846569e+01	-1.763174e+01	-4.149830e+01	-3.924408e-02	-8.961138e-02	-9.070007e-01
36	1.024694e+00	1.000000e+00	1.000000e+00	trust region too large	-1.806051e+02	-2.101766e+02	4.151494e+01	4.148391e-07	1.143765e-01	3.856037e-01	2.769926e-01	9.623086e-02	1.267963e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.957169e+01	-4.781819e+01	3.846827e+01	-1.764960e+01	-4.151494e+01	-3.927928e-02	-8.969455e-02	-9.071746e-01
37	1.024682e+00	1.000000e+00	1.000000e+00	trust region too large	-1.805114e+02	-2.101842e+02	4.153115e+01	4.150054e-07	1.143247e-01	3.856523e-01	2.769816e-01	9.621553e-02	1.268259e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.967299e+01	-4.784886e+01	3.847076e+01	-1.766700e+01	-4.153115e+01	-3.931358e-02	-8.977565e-02	-9.073440e-01
38	1.024671e+00	1.000000e+00	1.000000e+00	trust region too large	-1.804198e+02	-2.101914e+02	4.154695e+01	4.151674e-07	1.142743e-01	3.856996e-01	2.769709e-01	9.620059e-02	1.268546e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.977184e+01	-4.787874e+01	3.847319e+01	-1.768396e+01	-4.154696e+01	-3.934701e-02	-8.985473e-02	-9.075091e-01
39	1.024661e+00	1.000000e+00	1.000000e+00	trust region too large	-1.803301e+02	-2.101983e+02	4.156235e+01	4.153253e-07	1.142251e-01	3.857457e-01	2.769605e-01	9.618604e-02	1.268826e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.986831e+01	-4.790786e+01	3.847554e+01	-1.770050e+01	-4.156236e+01	-3.937957e-02	-8.993184e-02	-9.076699e-01
40	1.024653e+00	1.000000e+00	1.000000e+00	trust region too large	-1.802425e+02	-2.102048e+02	4.157737e+01	4.154792e-07	1.141773e-01	3.857906e-01	2.769503e-01	9.617185e-02	1.269099e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.996245e+01	-4.793624e+01	3.847783e+01	-1.771661e+01	-4.157737e+01	-3.941131e-02	-9.000705e-02	-9.078266e-01
41	1.024645e+00	1.000000e+00	1.000000e+00	trust region too large	-1.801568e+02	-2.102110e+02	4.159200e+01	4.156291e-07	1.141306e-01	3.858344e-01	2.769404e-01	9.615803e-02	1.269365e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.005432e+01	-4.796389e+01	3.848004e+01	-1.773233e+01	-4.159200e+01	-3.944225e-02	-9.008039e-02	-9.079793e-01
42	1.024639e+00	1.000000e+00	1.000000e+00	trust region too large	-1.800731e+02	-2.102169e+02	4.160626e+01	4.157753e-07	1.140852e-01	3.858771e-01	2.769307e-01	9.614456e-02	1.269624e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.014397e+01	-4.799085e+01	3.848220e+01	-1.774765e+01	-4.160626e+01	-3.947240e-02	-9.015193e-02	-9.081281e-01
43	1.024634e+00	1.000000e+00	1.000000e+00	trust region too large	-1.799912e+02	-2.102225e+02	4.162016e+01	4.159178e-07	1.140409e-01	3.859188e-01	2.769213e-01	9.613143e-02	1.269876e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.023148e+01	-4.801712e+01	3.848429e+01	-1.776259e+01	-4.162016e+01	-3.950178e-02	-9.022170e-02	-9.082731e-01
44	1.024631e+00	1.000000e+00	1.000000e+00	trust region too large	-1.799111e+02	-2.102279e+02	4.163371e+01	4.160567e-07	1.139978e-01	3.859593e-01	2.769121e-01	9.611863e-02	1.270122e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.031688e+01	-4.804273e+01	3.848632e+01	-1.777716e+01	-4.163371e+01	-3.953042e-02	-9.028975e-02	-9.084144e-01
45	1.024628e+00	1.000000e+00	1.000000e+00	trust region too large	-1.798328e+02	-2.102330e+02	4.164693e+01	4.161921e-07	1.139557e-01	3.859989e-01	2.769031e-01	9.610616e-02	1.270361e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.040023e+01	-4.806769e+01	3.848829e+01	-1.779136e+01	-4.164693e+01	-3.955835e-02	-9.035612e-02	-9.085522e-01
46	1.024627e+00	1.000000e+00	1.000000e+00	trust region too large	-1.797563e+02	-2.102378e+02	4.165981e+01	4.163241e-07	1.139147e-01	3.860375e-01	2.768943e-01	9.609400e-02	1.270595e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.048158e+01	-4.809203e+01	3.849021e+01	-1.780521e+01	-4.165981e+01	-3.958557e-02	-9.042087e-02	-9.086865e-01
