RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
71	-2.102374e+02	-7.280469e-07	1.313157e-01	4.164586e-01	2.508388e-01	9.875300e-02	7.999927e-02
72	-2.102420e+02	-6.709952e-07	1.312905e-01	4.165147e-01	2.508234e-01	9.874527e-02	7.999933e-02
73	-2.102464e+02	-6.168726e-07	1.312660e-01	4.165693e-01	2.508084e-01	9.873774e-02	7.999938e-02
74	-2.102506e+02	-5.655214e-07	1.312421e-01	4.166226e-01	2.507937e-01	9.873039e-02	7.999943e-02
75	-2.102546e+02	-5.167927e-07	1.312189e-01	4.166746e-01	2.507795e-01	9.872323e-02	7.999948e-02
76	-2.102584e+02	-4.705470e-07	1.311962e-01	4.167252e-01	2.507655e-01	9.871625e-02	7.999953e-02
77	-2.102620e+02	-4.266514e-07	1.311740e-01	4.167746e-01	2.507519e-01	9.870945e-02	7.999957e-02
78	-2.102654e+02	-3.849809e-07	1.311524e-01	4.168228e-01	2.507387e-01	9.870281e-02	7.999962e-02
79	-2.102687e+02	-3.454184e-07	1.311314e-01	4.168697e-01	2.507258e-01	9.869634e-02	7.999965e-02
80	-2.102718e+02	-3.078526e-07	1.311109e-01	4.169155e-01	2.507132e-01	9.869003e-02	7.999969e-02
