RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
24	-1.276162e+00	1.000000e-03	5.000000e-04				-2.103311e+01		-1.761758e+02	-2.103313e+02	4.807961e-02	1.906003e-08	1.131823e-01	3.869188e-01	2.763417e-01	9.547764e-02	1.280796e-01												
25	3.291723e-01	5.000000e-04	5.000000e-04				-2.103305e+01		-1.760165e+02	-2.103307e+02	4.812130e-02	2.128334e-08	1.125452e-01	3.874252e-01	2.764103e-01	9.549806e-02	1.281213e-01												
26	6.868692e-01	5.000000e-04	5.000000e-04		-2.103301e+02	7.229383e-08	-2.103300e+01	-2.103294e+01	-1.759016e+02	-2.103302e+02	4.815102e-02	1.902988e-08	1.122749e-01	3.876439e-01	2.764315e-01	9.549873e-02	1.281510e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.442857e+01	-4.913578e+01	3.857983e+01	-1.849286e+01	-4.815094e-02	-1.822903e-03	6.397450e-04	-1.754143e-03
27	8.724867e-01	5.000000e-04	5.000000e-04		-2.103305e+02	4.100686e-08	-2.103304e+01	-2.103301e+01	-1.758966e+02	-2.103306e+02	4.815181e-02	2.093034e-08	1.121407e-01	3.877480e-01	2.764512e-01	9.550832e-02	1.281518e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.443390e+01	-4.918564e+01	3.857692e+01	-1.848012e+01	-4.815177e-02	-1.837320e-03	6.450547e-04	-1.753690e-03
28	6.215655e-01	5.000000e-04	5.000000e-04		-2.103310e+02	3.461236e-08	-2.103308e+01	-2.103307e+01	-1.759835e+02	-2.103310e+02	4.812912e-02	2.092984e-08	1.122518e-01	3.876548e-01	2.764493e-01	9.551495e-02	1.281291e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.434756e+01	-4.913543e+01	3.857692e+01	-1.847328e+01	-4.812909e-02	-1.824191e-03	6.396651e-04	-1.753797e-03
29	4.858624e-01	5.000000e-04	5.000000e-04		-2.103314e+02	3.397098e-08	-2.103313e+01	-2.103311e+01	-1.759882e+02	-2.103315e+02	4.812742e-02	1.958587e-08	1.121394e-01	3.877412e-01	2.764674e-01	9.552456e-02	1.281274e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.434323e+01	-4.917617e+01	3.857421e+01	-1.846074e+01	-4.812738e-02	-1.836131e-03	6.440013e-04	-1.753389e-03
30	2.669894e-01	5.000000e-04	5.000000e-04		-2.103318e+02	4.673973e-08	-2.103317e+01	-2.103314e+01	-1.760906e+02	-2.103318e+02	4.810076e-02	1.612578e-08	1.123089e-01	3.876016e-01	2.764594e-01	9.552943e-02	1.281008e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.424124e+01	-4.910281e+01	3.857506e+01	-1.845657e+01	-4.810071e-02	-1.816526e-03	6.361296e-04	-1.753646e-03
31	-1.189284e-01	5.000000e-04	2.500000e-04		-2.103321e+02	5.319190e-08	-2.103321e+01	-2.103316e+01	-1.760637e+02	-2.103323e+02	4.810722e-02	1.810372e-08	1.121291e-01	3.877426e-01	2.764823e-01	9.553874e-02	1.281072e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.426840e+01	-4.917174e+01	3.857173e+01	-1.844375e+01	-4.810717e-02	-1.836135e-03	6.434889e-04	-1.753106e-03
32	6.737360e-01	2.500000e-04	2.500000e-04				-2.103323e+01		-1.761799e+02	-2.103325e+02	4.807711e-02	2.019638e-08	1.123768e-01	3.875415e-01	2.764647e-01	9.553997e-02	1.280771e-01												
33	8.608202e-01	2.500000e-04	2.500000e-04		-2.103323e+02	3.155780e-08	-2.103321e+01	-2.103319e+01	-1.761243e+02	-2.103323e+02	4.809151e-02	1.607626e-08	1.122510e-01	3.876434e-01	2.764742e-01	9.553992e-02	1.280915e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.420796e+01	-4.912041e+01	3.857275e+01	-1.844352e+01	-4.809148e-02	-1.822218e-03	6.379852e-04	-1.753334e-03
34	1.014256e+00	2.500000e-04	5.000000e-04		-2.103324e+02	2.077939e-08	-2.103322e+01	-2.103322e+01	-1.761333e+02	-2.103324e+02	4.808892e-02	1.812223e-08	1.122068e-01	3.876767e-01	2.764826e-01	9.554497e-02	1.280889e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.419914e+01	-4.913564e+01	3.857148e+01	-1.843709e+01	-4.808890e-02	-1.826807e-03	6.396042e-04	-1.753151e-03
