RTO_iter	merit	base_merit	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
64	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
65	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
66	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
67	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
68	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
69	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
70	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
71	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
72	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
73	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
74	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
75	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
76	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
77	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
78	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
79	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
80	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
