RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
30	9.703091e-01	1.250000e-03	2.500000e-03		-2.103252e+02	8.058899e-09	-2.103252e+01	-2.103251e+01	-1.755247e+02	-2.103252e+02	4.824991e-02	8.993414e-10	1.121233e-01	3.877930e-01	2.763892e-01	9.544463e-02	1.282499e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.480052e+01	-4.923203e+01	3.858733e+01	-1.855605e+01	-4.824991e-02	-1.844475e-03	6.501525e-04	-1.754824e-03
31	6.172707e-01	2.500000e-03	2.500000e-03		-2.103271e+02	1.194839e-08	-2.103270e+01	-2.103270e+01	-1.756146e+02	-2.103270e+02	4.822596e-02	8.993420e-10	1.120342e-01	3.878542e-01	2.764184e-01	9.546720e-02	1.282260e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.471250e+01	-4.925519e+01	3.858268e+01	-1.852816e+01	-4.822595e-02	-1.852739e-03	6.525752e-04	-1.754224e-03
32	-2.541080e+00	2.500000e-03	1.250000e-03		-2.103292e+02	7.630526e-08	-2.103294e+01	-2.103285e+01	-1.757599e+02	-2.103294e+02	4.818623e-02	8.993434e-10	1.117762e-01	3.880414e-01	2.764833e-01	9.551292e-02	1.281862e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.456928e+01	-4.933432e+01	3.857236e+01	-1.847085e+01	-4.818616e-02	-1.878385e-03	6.609445e-04	-1.752842e-03
33	-5.476479e-01	1.250000e-03	6.250000e-04				-2.103367e+01		-1.762252e+02	-2.103367e+02	4.806704e-02	8.993482e-10	1.131785e-01	3.869162e-01	2.763515e-01	9.548675e-02	1.280670e-01												
34	3.661480e-01	6.250000e-04	6.250000e-04				-2.103331e+01		-1.760274e+02	-2.103331e+02	4.811848e-02	8.993411e-10	1.124859e-01	3.874694e-01	2.764215e-01	9.550460e-02	1.281185e-01												
35	8.714533e-01	6.250000e-04	6.250000e-04		-2.103308e+02	1.316841e-07	-2.103312e+01	-2.103295e+01	-1.759022e+02	-2.103312e+02	4.815035e-02	8.993407e-10	1.121293e-01	3.877561e-01	2.764540e-01	9.551021e-02	1.281504e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.442861e+01	-4.918924e+01	3.857643e+01	-1.847776e+01	-4.815022e-02	-1.838450e-03	6.454266e-04	-1.753632e-03
36	2.332530e-01	6.250000e-04	6.250000e-04		-2.103312e+02	2.852083e-08	-2.103311e+01	-2.103309e+01	-1.760164e+02	-2.103311e+02	4.812048e-02	8.993419e-10	1.122888e-01	3.876234e-01	2.764494e-01	9.551787e-02	1.281205e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.431481e+01	-4.911824e+01	3.857680e+01	-1.847016e+01	-4.812045e-02	-1.819756e-03	6.378179e-04	-1.753819e-03
37	-3.882394e-01	6.250000e-04	3.125000e-04		-2.103316e+02	4.420430e-08	-2.103318e+01	-2.103311e+01	-1.759944e+02	-2.103318e+02	4.812555e-02	8.993414e-10	1.120890e-01	3.877796e-01	2.764763e-01	9.552962e-02	1.281255e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.433720e+01	-4.919403e+01	3.857285e+01	-1.845422e+01	-4.812550e-02	-1.841443e-03	6.458999e-04	-1.753191e-03
38	5.729675e-01	3.125000e-04	3.125000e-04				-2.103322e+01		-1.761394e+02	-2.103322e+02	4.808812e-02	8.993420e-10	1.124184e-01	3.875128e-01	2.764512e-01	9.552954e-02	1.280881e-01												
39	8.678912e-01	3.125000e-04	3.125000e-04		-2.103318e+02	2.716008e-08	-2.103319e+01	-2.103316e+01	-1.760695e+02	-2.103319e+02	4.810616e-02	8.993415e-10	1.122477e-01	3.876507e-01	2.764650e-01	9.553047e-02	1.281062e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.426235e+01	-4.912759e+01	3.857430e+01	-1.845475e+01	-4.810613e-02	-1.823376e-03	6.387828e-04	-1.753502e-03
40	9.908694e-01	3.125000e-04	6.250000e-04		-2.103320e+02	4.872366e-09	-2.103320e+01	-2.103320e+01	-1.760797e+02	-2.103320e+02	4.810317e-02	8.993413e-10	1.121922e-01	3.876927e-01	2.764754e-01	9.553663e-02	1.281032e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.425227e+01	-4.914685e+01	3.857273e+01	-1.844689e+01	-4.810317e-02	-1.829160e-03	6.408305e-04	-1.753275e-03
41	1.605798e-01	6.250000e-04	6.250000e-04		-2.103323e+02	3.609611e-09	-2.103322e+01	-2.103322e+01	-1.761276e+02	-2.103322e+02	4.809055e-02	8.993415e-10	1.122382e-01	3.876530e-01	2.764767e-01	9.554150e-02	1.280906e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.420466e+01	-4.912472e+01	3.857237e+01	-1.844152e+01	-4.809055e-02	-1.823532e-03	6.384448e-04	-1.753280e-03
42	-1.148384e+00	6.250000e-04	3.125000e-04		-2.103325e+02	2.267977e-08	-2.103326e+01	-2.103323e+01	-1.761331e+02	-2.103326e+02	4.808845e-02	8.993418e-10	1.120988e-01	3.877602e-01	2.764992e-01	9.555344e-02	1.280885e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.419939e+01	-4.917531e+01	3.856898e+01	-1.842595e+01	-4.808843e-02	-1.838374e-03	6.438340e-04	-1.752773e-03
43	2.312634e-01	3.125000e-04	3.125000e-04				-2.103331e+01		-1.762714e+02	-2.103331e+02	4.805285e-02	8.993413e-10	1.124551e-01	3.874731e-01	2.764688e-01	9.555012e-02	1.280529e-01												
44	6.494128e-01	3.125000e-04	3.125000e-04		-2.103327e+02	3.330132e-08	-2.103328e+01	-2.103324e+01	-1.762081e+02	-2.103328e+02	4.806915e-02	8.993405e-10	1.122756e-01	3.876172e-01	2.764852e-01	9.555287e-02	1.280692e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.412468e+01	-4.910221e+01	3.857082e+01	-1.842834e+01	-4.806912e-02	-1.818349e-03	6.359951e-04	-1.753146e-03
