RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit
20	-2.100655e+02	2.229874e-05	1.305266e-01	4.160530e-01	2.516344e-01	9.914310e-02	8.002230e-02	-2.098425e+00
21	-2.101042e+02	-1.236591e-07	1.298485e-01	4.171388e-01	2.514781e-01	9.907242e-02	7.999988e-02	-2.101042e+00
22	-2.101114e+02	1.518452e-05	1.340236e-01	4.133618e-01	2.507470e-01	9.870176e-02	8.001518e-02	-2.099595e+00
23	-2.101509e+02	6.470945e-07	1.314418e-01	4.157915e-01	2.511445e-01	9.890534e-02	8.000065e-02	-2.101445e+00
24	-2.101655e+02	2.310324e-05	1.274099e-01	4.200095e-01	2.515014e-01	9.907633e-02	8.002310e-02	-2.099345e+00
25	-2.101870e+02	5.538988e-06	1.295265e-01	4.178352e-01	2.512921e-01	9.897752e-02	8.000554e-02	-2.101316e+00
26	-2.101743e+02	1.452851e-06	1.305125e-01	4.167916e-01	2.512115e-01	9.893862e-02	8.000145e-02	-2.101598e+00
27	-2.101868e+02	5.723327e-07	1.298960e-01	4.175031e-01	2.512277e-01	9.894700e-02	8.000057e-02	-2.101810e+00
28	-2.101992e+02	-4.070891e-07	1.300549e-01	4.174225e-01	2.511628e-01	9.891488e-02	7.999959e-02	-2.101992e+00
29	-2.102236e+02	-7.614978e-07	1.303953e-01	4.172341e-01	2.510328e-01	9.884998e-02	7.999924e-02	-2.102236e+00
30	-2.102599e+02	-1.338853e-06	1.310388e-01	4.168949e-01	2.507769e-01	9.872221e-02	7.999866e-02	-2.102599e+00
31	-2.100315e+02	7.828148e-05	1.235428e-01	4.243917e-01	2.516315e-01	9.912297e-02	8.007828e-02	-2.092487e+00
32	-2.102327e+02	2.303808e-05	1.270445e-01	4.209925e-01	2.511764e-01	9.891385e-02	8.002304e-02	-2.100023e+00
33	-2.102759e+02	6.080720e-06	1.290534e-01	4.189793e-01	2.509486e-01	9.880559e-02	8.000608e-02	-2.102151e+00
34	-2.102761e+02	1.595511e-06	1.300783e-01	4.179152e-01	2.508531e-01	9.875936e-02	8.000160e-02	-2.102601e+00
35	-2.102811e+02	-3.829736e-07	1.301724e-01	4.179035e-01	2.507937e-01	9.873029e-02	7.999962e-02	-2.102811e+00
36	-2.102940e+02	-6.836753e-07	1.306378e-01	4.175800e-01	2.506550e-01	9.866106e-02	7.999932e-02	-2.102940e+00
37	-2.102374e+02	2.164038e-05	1.267939e-01	4.214747e-01	2.510680e-01	9.886014e-02	8.002164e-02	-2.100210e+00
38	-2.102912e+02	6.266199e-06	1.286392e-01	4.196612e-01	2.508377e-01	9.875011e-02	8.000627e-02	-2.102286e+00
39	-2.103009e+02	1.609351e-06	1.296796e-01	4.185994e-01	2.507301e-01	9.869784e-02	8.000161e-02	-2.102848e+00
40	-2.102997e+02	4.503718e-07	1.301754e-01	4.180763e-01	2.506887e-01	9.867752e-02	8.000045e-02	-2.102952e+00
41	-2.103019e+02	-4.661318e-08	1.300212e-01	4.182777e-01	2.506789e-01	9.867278e-02	7.999995e-02	-2.103019e+00
42	-2.103069e+02	-3.385274e-07	1.304076e-01	4.179513e-01	2.505981e-01	9.863250e-02	7.999966e-02	-2.103069e+00
43	-2.102936e+02	6.264578e-06	1.284232e-01	4.199975e-01	2.507914e-01	9.872695e-02	8.000626e-02	-2.102310e+00
44	-2.103087e+02	1.596453e-06	1.294560e-01	4.189662e-01	2.506712e-01	9.866841e-02	8.000160e-02	-2.102928e+00
45	-2.103100e+02	4.023577e-07	1.299676e-01	4.184288e-01	2.506271e-01	9.864673e-02	8.000040e-02	-2.103059e+00
46	-2.103091e+02	1.252194e-07	1.301918e-01	4.181867e-01	2.506116e-01	9.863909e-02	8.000013e-02	-2.103079e+00
47	-2.103101e+02	8.154060e-09	1.300690e-01	4.183334e-01	2.506118e-01	9.863921e-02	8.000001e-02	-2.103100e+00
48	-2.103126e+02	-2.044323e-07	1.301577e-01	4.182820e-01	2.505793e-01	9.862306e-02	7.999980e-02	-2.103126e+00
49	-2.103171e+02	-3.908193e-07	1.303198e-01	4.181944e-01	2.505162e-01	9.859155e-02	7.999961e-02	-2.103171e+00
50	-2.103003e+02	5.936519e-06	1.284065e-01	4.201388e-01	2.507193e-01	9.869100e-02	8.000594e-02	-2.102409e+00
51	-2.103157e+02	1.775106e-06	1.293289e-01	4.192330e-01	2.506029e-01	9.863418e-02	8.000178e-02	-2.102979e+00
52	-2.103189e+02	4.432335e-07	1.298630e-01	4.186863e-01	2.505484e-01	9.860740e-02	8.000044e-02	-2.103145e+00
53	-2.103188e+02	1.317439e-07	1.301004e-01	4.184328e-01	2.505303e-01	9.859846e-02	8.000013e-02	-2.103175e+00
54	-2.103195e+02	-8.369401e-08	1.300966e-01	4.184581e-01	2.505181e-01	9.859240e-02	7.999992e-02	-2.103195e+00
55	-2.103215e+02	-2.091321e-07	1.302161e-01	4.183737e-01	2.504833e-01	9.857507e-02	7.999979e-02	-2.103215e+00
56	-2.103171e+02	1.821729e-06	1.292246e-01	4.194004e-01	2.505776e-01	9.862152e-02	8.000182e-02	-2.102989e+00
57	-2.103222e+02	3.650583e-07	1.297950e-01	4.188343e-01	2.505089e-01	9.858765e-02	8.000037e-02	-2.103186e+00
58	-2.103225e+02	8.980741e-08	1.300252e-01	4.185861e-01	2.504928e-01	9.857969e-02	8.000009e-02	-2.103216e+00
59	-2.103232e+02	-1.182757e-07	1.301499e-01	4.184745e-01	2.504705e-01	9.856861e-02	7.999988e-02	-2.103232e+00
60	-2.103249e+02	-1.708965e-07	1.301557e-01	4.185096e-01	2.504455e-01	9.855613e-02	7.999983e-02	-2.103249e+00
61	-2.103265e+02	-3.117849e-07	1.305714e-01	4.181506e-01	2.503633e-01	9.851511e-02	7.999969e-02	-2.103265e+00
62	-2.103179e+02	5.722661e-06	1.286975e-01	4.200449e-01	2.505682e-01	9.861552e-02	8.000572e-02	-2.102606e+00
63	-2.103279e+02	1.797313e-06	1.295914e-01	4.191572e-01	2.504614e-01	9.856341e-02	8.000180e-02	-2.103099e+00
64	-2.103290e+02	5.760675e-07	1.300736e-01	4.186675e-01	2.504098e-01	9.853806e-02	8.000058e-02	-2.103233e+00
65	-2.103285e+02	2.036442e-07	1.303191e-01	4.184140e-01	2.503861e-01	9.852630e-02	8.000020e-02	-2.103264e+00
66	-2.103279e+02	8.461189e-08	1.304383e-01	4.182898e-01	2.503752e-01	9.852091e-02	8.000008e-02	-2.103271e+00
67	-2.103283e+02	8.297074e-08	1.303058e-01	4.184294e-01	2.503864e-01	9.852652e-02	8.000008e-02	-2.103275e+00
68	-2.103284e+02	7.895888e-08	1.301748e-01	4.185682e-01	2.503970e-01	9.853182e-02	8.000008e-02	-2.103276e+00
69	-2.103283e+02	5.315341e-08	1.300594e-01	4.186943e-01	2.504042e-01	9.853542e-02	8.000005e-02	-2.103278e+00
70	-2.103285e+02	-6.814042e-08	1.301438e-01	4.186149e-01	2.503914e-01	9.852905e-02	7.999993e-02	-2.103285e+00
71	-2.103291e+02	-4.798421e-08	1.300856e-01	4.186958e-01	2.503847e-01	9.852568e-02	7.999995e-02	-2.103291e+00
72	-2.103296e+02	-1.521536e-07	1.304188e-01	4.183788e-01	2.503362e-01	9.850150e-02	7.999985e-02	-2.103296e+00
73	-2.103281e+02	1.741394e-06	1.294700e-01	4.193427e-01	2.504374e-01	9.855144e-02	8.000174e-02	-2.103107e+00
74	-2.103304e+02	5.855494e-07	1.299262e-01	4.188860e-01	2.503848e-01	9.852554e-02	8.000059e-02	-2.103246e+00
75	-2.103306e+02	2.112524e-07	1.301665e-01	4.186407e-01	2.503598e-01	9.851318e-02	8.000021e-02	-2.103285e+00
76	-2.103304e+02	8.814540e-08	1.302853e-01	4.185179e-01	2.503484e-01	9.850751e-02	8.000009e-02	-2.103295e+00
77	-2.103302e+02	4.633681e-08	1.303390e-01	4.184621e-01	2.503435e-01	9.850505e-02	8.000005e-02	-2.103298e+00
78	-2.103303e+02	4.593868e-08	1.302593e-01	4.185456e-01	2.503504e-01	9.850854e-02	8.000005e-02	-2.103299e+00
79	-2.103303e+02	4.526395e-08	1.301798e-01	4.186291e-01	2.503573e-01	9.851196e-02	8.000005e-02	-2.103299e+00
80	-2.103303e+02	3.129349e-08	1.301982e-01	4.186104e-01	2.503554e-01	9.851102e-02	8.000003e-02	-2.103300e+00
