RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
11	-2.528099e-01	6.250000e-03	-1.780709e+02	-2.103682e+02	4.756256e-02	-9.278459e-11	1.141593e-01	3.859898e-01	2.765395e-01	9.574889e-02	1.275626e-01	-2.103682e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.225031e+01	-4.811958e+01	3.857346e+01	-1.820734e+01	-4.755323e-02	-1.558346e-03	5.434448e-04	-1.752800e-03
12	5.310596e-01	3.125000e-03	-1.769129e+02	-2.103895e+02	4.786902e-02	-9.035392e-11	1.106367e-01	3.887934e-01	2.768826e-01	9.581830e-02	1.278690e-01	-2.103895e+00												
13	-5.291119e-01	3.125000e-03	-1.774936e+02	-2.103471e+02	4.771911e-02	-9.071952e-11	1.123658e-01	3.874265e-01	2.767078e-01	9.578086e-02	1.277191e-01	-2.103471e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.283840e+01	-4.884136e+01	3.855684e+01	-1.815818e+01	-4.771503e-02	-1.757325e-03	6.220450e-04	-1.748978e-03
14	5.101289e-01	1.562500e-03	-1.769799e+02	-2.103264e+02	4.784323e-02	-1.909929e-10	1.107061e-01	3.887536e-01	2.768743e-01	9.582275e-02	1.278432e-01	-2.103264e+00												
15	7.296589e-01	1.562500e-03	-1.771720e+02	-2.103252e+02	4.779870e-02	-1.518642e-10	1.114678e-01	3.881526e-01	2.767870e-01	9.579391e-02	1.277987e-01	-2.103252e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.314895e+01	-4.920589e+01	3.854629e+01	-1.813470e+01	-4.779745e-02	-1.859238e-03	6.617280e-04	-1.746928e-03
16	-4.171323e+00	1.562500e-03	-1.774398e+02	-2.103273e+02	4.773102e-02	-9.136685e-11	1.123173e-01	3.874758e-01	2.767019e-01	9.577397e-02	1.277310e-01	-2.103273e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.288536e+01	-4.886574e+01	3.855914e+01	-1.816666e+01	-4.773072e-02	-1.763794e-03	6.249249e-04	-1.749034e-03
17	2.767039e-01	7.812500e-04	-1.771243e+02	-2.103255e+02	4.781154e-02	-1.014559e-10	1.114248e-01	3.881902e-01	2.767849e-01	9.578861e-02	1.278115e-01	-2.103255e+00												
18	9.684188e-01	7.812500e-04	-1.772662e+02	-2.103253e+02	4.777689e-02	-9.206383e-11	1.119698e-01	3.877591e-01	2.767243e-01	9.576985e-02	1.277769e-01	-2.103253e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.305878e+01	-4.901242e+01	3.855637e+01	-1.816829e+01	-4.777670e-02	-1.803814e-03	6.408547e-04	-1.748417e-03
19	-9.388030e+00	1.562500e-03	-1.773656e+02	-2.103261e+02	4.775180e-02	-9.114272e-11	1.123507e-01	3.874575e-01	2.766826e-01	9.575737e-02	1.277518e-01	-2.103261e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.296039e+01	-4.886219e+01	3.856243e+01	-1.818657e+01	-4.775189e-02	-1.761521e-03	6.246189e-04	-1.749412e-03
20	-3.673188e+00	7.812500e-04	-1.770652e+02	-2.103277e+02	4.782866e-02	-3.295156e-11	1.114689e-01	3.881615e-01	2.767670e-01	9.577394e-02	1.278287e-01	-2.103277e+00												
21	-1.022249e+00	3.906250e-04	-1.771890e+02	-2.103271e+02	4.779806e-02	-9.489304e-11	1.119064e-01	3.878147e-01	2.767202e-01	9.576074e-02	1.277981e-01	-2.103271e+00												
22	-1.135169e-01	1.953125e-04	-1.772732e+02	-2.103267e+02	4.777631e-02	-9.732103e-11	1.121382e-01	3.876290e-01	2.766991e-01	9.575742e-02	1.277763e-01	-2.103267e+00												
23	2.428064e-01	9.765625e-05	-1.773155e+02	-2.103265e+02	4.776519e-02	-1.571905e-10	1.122390e-01	3.875477e-01	2.766910e-01	9.575709e-02	1.277652e-01	-2.103265e+00												
24	7.081747e-01	9.765625e-05	-1.773337e+02	-2.103264e+02	4.776035e-02	-9.188243e-11	1.122806e-01	3.875141e-01	2.766878e-01	9.575712e-02	1.277603e-01	-2.103264e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.299261e+01	-4.889139e+01	3.856175e+01	-1.818621e+01	-4.776032e-02	-1.769504e-03	6.277802e-04	-1.749278e-03
25	1.350079e+00	9.765625e-05	-1.773043e+02	-2.103264e+02	4.776818e-02	-1.056209e-10	1.122258e-01	3.875590e-01	2.766910e-01	9.575609e-02	1.277682e-01	-2.103264e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.302208e+01	-4.891477e+01	3.856139e+01	-1.818693e+01	-4.776817e-02	-1.775839e-03	6.303180e-04	-1.749188e-03
26	1.766098e+00	1.953125e-04	-1.772844e+02	-2.103265e+02	4.777359e-02	-3.444185e-11	1.122060e-01	3.875760e-01	2.766904e-01	9.575399e-02	1.277736e-01	-2.103265e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.304213e+01	-4.892429e+01	3.856155e+01	-1.818922e+01	-4.777360e-02	-1.778285e-03	6.313578e-04	-1.749188e-03
27	1.846679e+00	3.906250e-04	-1.772649e+02	-2.103267e+02	4.777907e-02	-1.015974e-10	1.122088e-01	3.875757e-01	2.766863e-01	9.575013e-02	1.277791e-01	-2.103267e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.306201e+01	-4.892555e+01	3.856224e+01	-1.819379e+01	-4.777911e-02	-1.778320e-03	6.315078e-04	-1.749266e-03
28	2.572660e-01	7.812500e-04	-1.772399e+02	-2.103272e+02	4.778626e-02	-9.039225e-11	1.122431e-01	3.875516e-01	2.766763e-01	9.574272e-02	1.277863e-01	-2.103272e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.308751e+01	-4.891591e+01	3.856386e+01	-1.820284e+01	-4.778634e-02	-1.775076e-03	6.304887e-04	-1.749472e-03
29	9.456592e-01	7.812500e-04	-1.771230e+02	-2.103279e+02	4.781749e-02	-8.123190e-11	1.120488e-01	3.877115e-01	2.766853e-01	9.573684e-02	1.278175e-01	-2.103279e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.320490e+01	-4.900018e+01	3.856283e+01	-1.820792e+01	-4.781746e-02	-1.797731e-03	6.396229e-04	-1.749191e-03
30	-5.119880e+00	1.562500e-03	-1.772155e+02	-2.103288e+02	4.779420e-02	-9.104841e-11	1.124195e-01	3.874181e-01	2.766442e-01	9.572402e-02	1.277942e-01	-2.103288e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.311318e+01	-4.885437e+01	3.856873e+01	-1.822647e+01	-4.779430e-02	-1.756705e-03	6.238874e-04	-1.750169e-03
31	-2.586318e+00	7.812500e-04	-1.769348e+02	-2.103315e+02	4.786604e-02	-9.044956e-11	1.115560e-01	3.881062e-01	2.767292e-01	9.574259e-02	1.278660e-01	-2.103315e+00												
32	-1.124226e+00	3.906250e-04	-1.770561e+02	-2.103303e+02	4.783575e-02	-3.285532e-11	1.119693e-01	3.877781e-01	2.766859e-01	9.573101e-02	1.278357e-01	-2.103303e+00												
33	-3.764681e-01	1.953125e-04	-1.771293e+02	-2.103296e+02	4.781692e-02	-3.292359e-11	1.121888e-01	3.876030e-01	2.766647e-01	9.572669e-02	1.278169e-01	-2.103296e+00												
34	-2.128416e-02	9.765625e-05	-1.771676e+02	-2.103293e+02	4.780691e-02	-9.429653e-11	1.122948e-01	3.875181e-01	2.766550e-01	9.572521e-02	1.278069e-01	-2.103293e+00												
35	1.342487e-01	4.882813e-05	-1.771847e+02	-2.103292e+02	4.780243e-02	-8.491339e-11	1.123400e-01	3.874818e-01	2.766511e-01	9.572472e-02	1.278024e-01	-2.103292e+00												
36	1.236099e-01	4.882813e-05	-1.771909e+02	-2.103291e+02	4.780079e-02	-3.329757e-11	1.123566e-01	3.874685e-01	2.766496e-01	9.572454e-02	1.278008e-01	-2.103291e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.313816e+01	-4.888014e+01	3.856799e+01	-1.822527e+01	-4.780076e-02	-1.763791e-03	6.266678e-04	-1.750035e-03
37	7.601311e-02	4.882813e-05	-1.771661e+02	-2.103291e+02	4.780729e-02	-9.750865e-11	1.122945e-01	3.875185e-01	2.766548e-01	9.572495e-02	1.278073e-01	-2.103291e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.316296e+01	-4.890562e+01	3.856732e+01	-1.822422e+01	-4.780726e-02	-1.770806e-03	6.294245e-04	-1.749904e-03
38	4.679254e-01	4.882813e-05	-1.771407e+02	-2.103291e+02	4.781395e-02	-1.464874e-10	1.122340e-01	3.875673e-01	2.766596e-01	9.572513e-02	1.278139e-01	-2.103291e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.318834e+01	-4.893059e+01	3.856669e+01	-1.822346e+01	-4.781392e-02	-1.777665e-03	6.321255e-04	-1.749780e-03
39	1.000000e+00	4.882813e-05	-1.771162e+02	-2.103291e+02	4.782041e-02	-3.337262e-11	1.121850e-01	3.876073e-01	2.766627e-01	9.572456e-02	1.278204e-01	-2.103291e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.321284e+01	-4.895130e+01	3.856630e+01	-1.822368e+01	-4.782040e-02	-1.783300e-03	6.343683e-04	-1.749693e-03
40		4.882813e-05	-1.771211e+02	-2.103290e+02	4.781910e-02	-9.083770e-11	1.121898e-01	3.876032e-01	2.766629e-01	9.572506e-02	1.278191e-01	-2.103290e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.320797e+01	-4.894900e+01	3.856627e+01	-1.822313e+01	-4.781910e-02	-1.782712e-03	6.341186e-04	-1.749693e-03
