RTO_iter	profit	XFr_A_unmodified	XFr_A	XFr_B_unmodified	XFr_B	XFr_E_unmodified	XFr_E	XFr_P_unmodified	XFr_P	XFr_G_unmodified	XFr_G	Ka1	Ka2	Kb1	Kb2	XFr_A_eps	Tr_XFr_A_lam	Fb_XFr_A_lam	XFr_B_eps	Tr_XFr_B_lam	Fb_XFr_B_lam	XFr_E_eps	Tr_XFr_E_lam	Fb_XFr_E_lam	XFr_P_eps	Tr_XFr_P_lam	Fb_XFr_P_lam	XFr_G_eps	Tr_XFr_G_lam	Fb_XFr_G_lam
10	-1.909800e+02	7.448840e-02	8.760887e-02	3.696069e-01	3.894510e-01	3.040604e-01	2.906131e-01	1.021231e-01	1.094651e-01	1.497213e-01	1.075246e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.312052e-02	2.798513e-04	5.109073e-03	1.984413e-02	-2.468739e-04	9.239566e-03	-1.344723e-02	1.053450e-03	-8.260985e-03	7.341982e-03	9.952925e-04	-4.253878e-03	-4.219679e-02	-1.405702e-03	3.701578e-04
11	-1.909802e+02	7.443509e-02	8.756467e-02	3.696603e-01	3.895135e-01	3.040545e-01	2.906072e-01	1.021158e-01	1.094622e-01	1.497342e-01	1.075243e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.312960e-02	2.795411e-04	5.102967e-03	1.985324e-02	-2.472318e-04	9.230831e-03	-1.344728e-02	1.053546e-03	-8.255729e-03	7.346364e-03	9.952459e-04	-4.253719e-03	-4.221001e-02	-1.405419e-03	3.775647e-04
12	-1.909802e+02	7.440946e-02	8.754348e-02	3.696884e-01	3.895463e-01	3.040509e-01	2.906032e-01	1.021126e-01	1.094608e-01	1.497386e-01	1.075225e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313404e-02	2.793924e-04	5.099954e-03	1.985789e-02	-2.474057e-04	9.226528e-03	-1.344770e-02	1.053596e-03	-8.253146e-03	7.348179e-03	9.952268e-04	-4.253658e-03	-4.221609e-02	-1.405286e-03	3.812555e-04
13	-1.909803e+02	7.439700e-02	8.753322e-02	3.697031e-01	3.895633e-01	3.040489e-01	2.906008e-01	1.021112e-01	1.094601e-01	1.497399e-01	1.075210e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313623e-02	2.793204e-04	5.098460e-03	1.986026e-02	-2.474909e-04	9.224394e-03	-1.344808e-02	1.053623e-03	-8.251868e-03	7.348936e-03	9.952189e-04	-4.253635e-03	-4.221892e-02	-1.405223e-03	3.831023e-04
14	-1.909803e+02	7.439091e-02	8.752821e-02	3.697107e-01	3.895722e-01	3.040477e-01	2.905994e-01	1.021105e-01	1.094597e-01	1.497402e-01	1.075199e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313731e-02	2.792852e-04	5.097714e-03	1.986147e-02	-2.475328e-04	9.223331e-03	-1.344833e-02	1.053636e-03	-8.251233e-03	7.349255e-03	9.952156e-04	-4.253626e-03	-4.222026e-02	-1.405193e-03	3.840294e-04
15	-1.909803e+02	7.438790e-02	8.752575e-02	3.697146e-01	3.895767e-01	3.040471e-01	2.905986e-01	1.021102e-01	1.094596e-01	1.497402e-01	1.075193e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313785e-02	2.792679e-04	5.097341e-03	1.986209e-02	-2.475537e-04	9.222799e-03	-1.344849e-02	1.053643e-03	-8.250915e-03	7.349390e-03	9.952143e-04	-4.253623e-03	-4.222090e-02	-1.405178e-03	3.844962e-04
16	-1.909803e+02	7.438641e-02	8.752453e-02	3.697167e-01	3.895791e-01	3.040468e-01	2.905982e-01	1.021100e-01	1.094595e-01	1.497401e-01	1.075189e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313812e-02	2.792593e-04	5.097154e-03	1.986240e-02	-2.475640e-04	9.222532e-03	-1.344858e-02	1.053647e-03	-8.250756e-03	7.349449e-03	9.952137e-04	-4.253622e-03	-4.222121e-02	-1.405171e-03	3.847316e-04
17	-1.909803e+02	7.438567e-02	8.752392e-02	3.697177e-01	3.895803e-01	3.040466e-01	2.905980e-01	1.021100e-01	1.094594e-01	1.497401e-01	1.075187e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313825e-02	2.792551e-04	5.097059e-03	1.986256e-02	-2.475692e-04	9.222398e-03	-1.344863e-02	1.053649e-03	-8.250676e-03	7.349474e-03	9.952134e-04	-4.253622e-03	-4.222136e-02	-1.405167e-03	3.848506e-04
18	-1.909803e+02	7.438529e-02	8.752362e-02	3.697182e-01	3.895809e-01	3.040465e-01	2.905979e-01	1.021099e-01	1.094594e-01	1.497400e-01	1.075186e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313832e-02	2.792529e-04	5.097012e-03	1.986265e-02	-2.475718e-04	9.222330e-03	-1.344865e-02	1.053650e-03	-8.250636e-03	7.349485e-03	9.952133e-04	-4.253621e-03	-4.222143e-02	-1.405166e-03	3.849108e-04
19	-1.909803e+02	7.438511e-02	8.752346e-02	3.697185e-01	3.895812e-01	3.040465e-01	2.905978e-01	1.021099e-01	1.094594e-01	1.497400e-01	1.075185e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313836e-02	2.792519e-04	5.096988e-03	1.986269e-02	-2.475731e-04	9.222296e-03	-1.344867e-02	1.053650e-03	-8.250615e-03	7.349490e-03	9.952133e-04	-4.253621e-03	-4.222147e-02	-1.405165e-03	3.849413e-04
20	-1.909803e+02	7.438501e-02	8.752339e-02	3.697186e-01	3.895813e-01	3.040465e-01	2.905978e-01	1.021099e-01	1.094594e-01	1.497400e-01	1.075185e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.313837e-02	2.792513e-04	5.096976e-03	1.986271e-02	-2.475738e-04	9.222278e-03	-1.344867e-02	1.053650e-03	-8.250605e-03	7.349493e-03	9.952133e-04	-4.253621e-03	-4.222149e-02	-1.405164e-03	3.849567e-04
